("opt1","TE",1,"opt1",1,"transmission", "delta_thickness;delta_width")
(4500,6)
0.0 0.0 176348504705882.0	0.009175000000000001	-1.949880021955869	5.233211539426826e-15
0.0 0.0 176410892148584.0	0.009181000000000000	-1.932828398298450	5.233211539426826e-15
0.0 0.0 176473323748967.0	0.009192000000000001	-1.916670226600242	5.233211539426826e-15
0.0 0.0 176535799553929.0	0.009209999999999999	-1.901343508403310	5.233211539426826e-15
0.0 0.0 176598319610435.0	0.009233000000000000	-1.886783245251923	5.233211539426826e-15
0.0 0.0 176660883965517.0	0.009263000000000000	-1.872921438692549	5.233211539426826e-15
0.0 0.0 176723492666272.0	0.009299000000000000	-1.859688090273798	5.233211539426826e-15
0.0 0.0 176786145759867.0	0.009342000000000000	-1.847009201546577	5.233211539426826e-15
0.0 0.0 176848843293533.0	0.009391000000000000	-1.834812774063901	5.233211539426826e-15
0.0 0.0 176911585314569.0	0.009447000000000001	-1.823026809381019	5.233211539426826e-15
0.0 0.0 176974371870341.0	0.009509000000000000	-1.811581309055385	5.233211539426826e-15
0.0 0.0 177037203008284.0	0.009578000000000000	-1.800408274646719	5.233211539426826e-15
0.0 0.0 177100078775896.0	0.009653000000000000	-1.789442707716815	5.233211539426826e-15
0.0 0.0 177162999220748.0	0.009733000000000000	-1.778626609829866	5.233211539426826e-15
0.0 0.0 177225964390475.0	0.009820000000000001	-1.767904982552170	5.233211539426826e-15
0.0 0.0 177288974332780.0	0.009911000000000000	-1.757227827452261	5.233211539426826e-15
0.0 0.0 177352029095435.0	0.01000800000000000	-1.746553146100940	5.233211539426826e-15
0.0 0.0 177415128726280.0	0.01010900000000000	-1.735843940071247	5.233211539426826e-15
0.0 0.0 177478273273223.0	0.01021500000000000	-1.725070210938456	5.233211539426826e-15
0.0 0.0 177541462784239.0	0.01032400000000000	-1.714208960280045	5.233211539426826e-15
0.0 0.0 177604697307372.0	0.01043700000000000	-1.703241189675758	5.233211539426826e-15
0.0 0.0 177667976890736.0	0.01055300000000000	-1.692156900707644	5.233211539426826e-15
0.0 0.0 177731301582511.0	0.01067200000000000	-1.680950094959923	5.233211539426826e-15
0.0 0.0 177794671430948.0	0.01079200000000000	-1.669618774019144	5.233211539426826e-15
0.0 0.0 177858086484365.0	0.01091500000000000	-1.658168939474066	5.233211539426826e-15
0.0 0.0 177921546791151.0	0.01103800000000000	-1.646606592915777	5.233211539426826e-15
0.0 0.0 177985052399762.0	0.01116300000000000	-1.634944735937571	5.233211539426826e-15
0.0 0.0 178048603358724.0	0.01128800000000000	-1.623199370135044	5.233211539426826e-15
0.0 0.0 178112199716632.0	0.01141400000000000	-1.611386497106058	5.233211539426826e-15
0.0 0.0 178175841522153.0	0.01153900000000000	-1.599527118450844	5.233211539426826e-15
0.0 0.0 178239528824020.0	0.01166500000000000	-1.587642235771806	5.233211539426826e-15
0.0 0.0 178303261671037.0	0.01179000000000000	-1.575753850673677	5.233211539426826e-15
0.0 0.0 178367040112078.0	0.01191500000000000	-1.563883964763497	5.233211539426826e-15
0.0 0.0 178430864196087.0	0.01203900000000000	-1.552056579650603	5.233211539426826e-15
0.0 0.0 178494733972079.0	0.01216300000000000	-1.540292696946671	5.233211539426826e-15
0.0 0.0 178558649489138.0	0.01228600000000000	-1.528613318265642	5.233211539426826e-15
0.0 0.0 178622610796417.0	0.01240800000000000	-1.517039445223729	5.233211539426826e-15
0.0 0.0 178686617943143.0	0.01253000000000000	-1.505587079439575	5.233211539426826e-15
0.0 0.0 178750670978611.0	0.01265100000000000	-1.494273222534062	5.233211539426826e-15
0.0 0.0 178814769952187.0	0.01277300000000000	-1.483109876130404	5.233211539426826e-15
0.0 0.0 178878914913308.0	0.01289400000000000	-1.472109041854153	5.233211539426826e-15
0.0 0.0 178943105911483.0	0.01301600000000000	-1.461275721333223	5.233211539426826e-15
0.0 0.0 179007342996290.0	0.01313800000000000	-1.450614916197803	5.233211539426826e-15
0.0 0.0 179071626217380.0	0.01326200000000000	-1.440125628080477	5.233211539426826e-15
0.0 0.0 179135955624476.0	0.01338700000000000	-1.429803858616201	5.233211539426826e-15
0.0 0.0 179200331267369.0	0.01351300000000000	-1.419641609442162	5.233211539426826e-15
0.0 0.0 179264753195925.0	0.01364200000000000	-1.409628882198019	5.233211539426826e-15
0.0 0.0 179329221460081.0	0.01377300000000000	-1.399748678525759	5.233211539426826e-15
0.0 0.0 179393736109845.0	0.01390700000000000	-1.389981000069710	5.233211539426826e-15
0.0 0.0 179458297195297.0	0.01404300000000000	-1.380303848476562	5.233211539426826e-15
0.0 0.0 179522904766590.0	0.01418400000000000	-1.370689225395409	5.233211539426826e-15
0.0 0.0 179587558873949.0	0.01432800000000000	-1.361110132477712	5.233211539426826e-15
0.0 0.0 179652259567671.0	0.01447600000000000	-1.351532571377296	5.233211539426826e-15
0.0 0.0 179717006898125.0	0.01462900000000000	-1.341922543750359	5.233211539426826e-15
0.0 0.0 179781800915755.0	0.01478600000000000	-1.332244051255560	5.233211539426826e-15
0.0 0.0 179846641671074.0	0.01494800000000000	-1.322460095553830	5.233211539426826e-15
0.0 0.0 179911529214672.0	0.01511400000000000	-1.312531678308630	5.233211539426826e-15
0.0 0.0 179976463597208.0	0.01528500000000000	-1.302422801185692	5.233211539426826e-15
0.0 0.0 180041444869418.0	0.01546100000000000	-1.292093465853277	5.233211539426826e-15
0.0 0.0 180106473082109.0	0.01564100000000000	-1.281508673981983	5.233211539426826e-15
0.0 0.0 180171548286161.0	0.01582600000000000	-1.270633427244807	5.233211539426826e-15
